Net Status Report
Filename     : C:\Users\lance\Dropbox\Volt\hpbicontroller-rev1-0-2014-02-22\ControllerRevB\HPBIController.PcbDoc
Date         : 10/3/2019
Time         : 3:16:19 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    PS_CLK, Signal Layers Only, 17.0519mm
    PS_SRST_B, Signal Layers Only, 33.4347mm
    PWR_ENABLE, Signal Layers Only, 56.2426mm
    QSPI_CLK, Signal Layers Only, 0mm
    QSPI_CS_B, Signal Layers Only, 0mm
    QSPI_IO0, Signal Layers Only, 0mm
    QSPI_IO1, Signal Layers Only, 0mm
    QSPI_IO2, Signal Layers Only, 0mm
    QSPI_IO3, Signal Layers Only, 0mm
    SDIO_CK, Signal Layers Only, 26.2712mm
    SDIO_CLK, Signal Layers Only, 14.8152mm
    SDIO_CMD, Signal Layers Only, 51.2284mm
    SDIO_IO0, Signal Layers Only, 51.3927mm
    SDIO_IO1, Signal Layers Only, 48.9303mm
    SDIO_IO2, Signal Layers Only, 52.9625mm
    SDIO_IO3, Signal Layers Only, 51.3072mm
    SDIO_SD_DETECT, Signal Layers Only, 40.2678mm
    SH_GND, Signal Layers Only, 3.7379mm
    SMBUS_ALERT_N, Signal Layers Only, 55.1237mm
    SPI0_MISO, Signal Layers Only, 33.2997mm
    SPI0_MISO_SLAVE0, Signal Layers Only, 64.7568mm
    SPI0_MISO_SLAVE1, Signal Layers Only, 33.0763mm
    SPI0_MISO_SLAVE2, Signal Layers Only, 35.4522mm
    SPI0_MOSI, Signal Layers Only, 121.3933mm
    SPI0_SCLK, Signal Layers Only, 108.0197mm
    SPI0_SS0, Signal Layers Only, 28.2261mm
    SPI0_SS1, Signal Layers Only, 37.6127mm
